"depth","common","length","length_category","synoptic_reference","synoptic_latitude","synoptic_longitude","fish_latitude","fish_longitude","fish_site","site_comment","observers","do","temperature","salinity","conductivity","year","datetime"
NA,"unidentified juvenile",1,NA,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"unidentified juvenile",1,NA,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"unidentified juvenile",1,NA,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"unidentified juvenile",1,NA,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,1.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,3,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,3,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"silver perch",NA,3,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
